,val_text,val_true,val_pred,bleu_score
0,recently student class brought liquorice share took one bite stunned good unlike reviewer mine clumped together actually like pictured bag liquorice soft known would say different type liquorice normal red vine twizzler try brand soft chewy lots flavor since bought several bags continue share product friends family also find marshalls target far tried strawberry flavor next mango,mmmmm good,best tasting hot sauce ever,0.0
1,coffee drinkers tastes wide varied like coffee drinkers like coffee certain way strong black touch sweetness canned coffee drink strong black sweet liked like coffee rather cream drink coffee mixed sweetness killed terrible point cannot drink also good would buy love iced coffee though would consider buying unsweetened version never let coffee shop put sweetener coffee want taste feel bottled canned coffee could tell good expresso coffee flavor drink would definitely like try plain version could make taste,not great not terrible,not as good as it as good as it,0.11111111111111109
2,one best tasting granola good ceral well regular trail snack price bit much though,great tasting but bit pricey,great taste,0.11156508007421491
3,say wow tangy sweet fruity refreshing hard imagine gum makers world top one,the gum chewing has been waiting for,best tasting hot sauce ever,0.0
4,used eating flaxseed brownie hodgson mill brownies super easy make taste great since like dark chocolate usually add little cocoa,delicious brownie,delicious,0.36787944117144233
5,picked local grocery store organic brown rice pleasantly surprised cooks really well sticky tastes great typically brown rice lover kind really good kids husband ate asked seconds well delighted see amazon great price subscribe save,love this rice,great for cooking,0.0
6,brew nice smoky aroma count comes plastic bags cups opening bag keeping remainder bag sealed clip possible could freshness issues left several days weeks think supply last long enough bad though like idea less plastic like compost coffee grounds summer much easier access dumping grounds fit keurig brew fine fact usually buy strongest coffee cups double brew mine bigger mug true coffee aficionados may prefer may strong like lighter roasts flavored coffees tastes great cheaper environmentally friendly cups,great price for strong delicious cup coffee,great coffee for the price,0.5362560368285115
7,real coconut water straight young coconut real coconut water first sourced brazilian coconuts type coconut inherently bitter sweet coconut thailand said coconut tastes worse purchased costco amazon com seem quality control issues bottles bitter past freshness despite fact add sugar product brings another issue product labelled pure coconut water add sugar two words false advertising buy product,do not buy,not bad,0.3032653298563167
8,able find gum amazon good price free shipping,yum,great product,0.0
9,excellent pre mix tastes like mother made without measuring mess delicious convenient would repurchase,like mother made,delicious,0.0
10,things rediscovered many busy helping image culinary california australia everybody getting act thin flabby faux hitting shelves cute backbone courage heavy lifting kitchen might well pour lemonade grilled salmon acidic glory taste alone compare anything might run across vineyards make veritable next try gently fresh really ripe fruit loves swirled beurre blanc whip best cream roasting pan old time gravy nutmeg nice five pepper blend need steamed vegetables tell truth,the truth in,best ever,0.0
11,great ginger ale little ginger bite flavors honey lime come nicely flavors clean highly recommended fan ginger ale,great ginger brew,my favorite drink,0.0
12,like product much signed monthly shipment think says lot healthy tasty time,great gluten free snack bars,great taste,0.11156508007421491
13,always used mcp sudden cannot find say unavailable time think available ever,mcp the best,best of the best,0.5
