,val_text,val_true,val_pred,bleu_score
0,recently student class brought liquorice share took one bite stunned good unlike reviewer mine clumped together actually like pictured bag liquorice soft known would say different type liquorice normal red vine twizzler try brand soft chewy lots flavor since bought several bags continue share product friends family also find marshalls target far tried strawberry flavor next mango,mmmmm good,good flavor,0.5
1,coffee drinkers tastes wide varied like coffee drinkers like coffee certain way strong black touch sweetness canned coffee drink strong black sweet liked like coffee rather cream drink coffee mixed sweetness killed terrible point cannot drink also good would buy love iced coffee though would consider buying unsweetened version never let coffee shop put sweetener coffee want taste feel bottled canned coffee could tell good expresso coffee flavor drink would definitely like try plain version could make taste,not great not terrible,good coffee,0.0
2,one best tasting granola good ceral well regular trail snack price bit much though,great tasting but bit pricey,great granola,0.11156508007421491
3,say wow tangy sweet fruity refreshing hard imagine gum makers world top one,the gum chewing has been waiting for,delicious,0.0
4,used eating flaxseed brownie hodgson mill brownies super easy make taste great since like dark chocolate usually add little cocoa,delicious brownie,best brownie ever,0.3333333333333333
5,picked local grocery store organic brown rice pleasantly surprised cooks really well sticky tastes great typically brown rice lover kind really good kids husband ate asked seconds well delighted see amazon great price subscribe save,love this rice,rice dream,0.3032653298563167
6,brew nice smoky aroma count comes plastic bags cups opening bag keeping remainder bag sealed clip possible could freshness issues left several days weeks think supply last long enough bad though like idea less plastic like compost coffee grounds summer much easier access dumping grounds fit keurig brew fine fact usually buy strongest coffee cups double brew mine bigger mug true coffee aficionados may prefer may strong like lighter roasts flavored coffees tastes great cheaper environmentally friendly cups,great price for strong delicious cup coffee,good coffee but not great,0.26812801841425576
7,real coconut water straight young coconut real coconut water first sourced brazilian coconuts type coconut inherently bitter sweet coconut thailand said coconut tastes worse purchased costco amazon com seem quality control issues bottles bitter past freshness despite fact add sugar product brings another issue product labelled pure coconut water add sugar two words false advertising buy product,do not buy,tastes like plastic,0.0
8,able find gum amazon good price free shipping,yum,great product,0.0
9,excellent pre mix tastes like mother made without measuring mess delicious convenient would repurchase,like mother made,great taste,0.0
10,things rediscovered many busy helping image culinary california australia everybody getting act thin flabby faux hitting shelves cute backbone courage heavy lifting kitchen might well pour lemonade grilled salmon acidic glory taste alone compare anything might run across vineyards make veritable next try gently fresh really ripe fruit loves swirled beurre blanc whip best cream roasting pan old time gravy nutmeg nice five pepper blend need steamed vegetables tell truth,the truth in,nice little tree,0.0
11,great ginger ale little ginger bite flavors honey lime come nicely flavors clean highly recommended fan ginger ale,great ginger brew,ginger ale,0.3032653298563167
12,like product much signed monthly shipment think says lot healthy tasty time,great gluten free snack bars,great price,0.11156508007421491
13,always used mcp sudden cannot find say unavailable time think available ever,mcp the best,great,0.0
14,little guy ate could even write review,great deal,not the greatest,0.0
15,loved delicious tasty remarkably addictive snacks never thought would like pepper salted nuts wow added real depth flavor found irresistible delicious,these are very very tasty,love these nuts,0.17113903967753066
16,someone low sodium diet make many types food people buy applesauce bread ricotta granola think bars larabar flavors taste chemical point verge artificial despite natural natural equal tasty often means nothing important besides tasting better wish sodium levels readable lower sure fat sugar protein important people die cardiac disease hypertension linked high sodium diet lack protein,not as good as claimed,good product,0.11156508007421491
17,item allows convenience safe place emergency funds hides well pantry know whenever need,safe safe,very good,0.0
18,nice blend time price might confuse coffe dosnt fall saying get pay good coffe good price,,good coffee,0.0
19,love product fact become addictive time however noticed hard pieces chewing nuts examining closely think somehow shells got nuts shelled made careful bitterness otherwise wonderful flavor also want crack chip tooth hope isolated instance batch,emerald dry roasted walnuts review,not the same as the original,0.0
20,recently returned wonderful three week excursion ireland tasted many irish teas favorite barry gold blend pleased find readily available amazon reasonable priceas already used supply brought home,great irish tea,best candy ever,0.0
21,anything really exciting little sweet kids like relatively healthy stays crunchy continue buy kids,stays crunchy little too sweet,great snack,0.0
22,flavorful salt imagine cook nice thick steak carve sprinkle little salt cut side make meat pop mouth never experimented finishing salts great starting point,my favorite,great salt,0.0
23,cut one inch time give treats dog loves freeze bag inch disks take freezer one time good value comparable pre cut treats also used meals,excellent dog treats when cut up good value,great treats,0.024893534183931972
24,great mix two round pans plenty dough job nicely came nice moist provides great base experiments wanted lemon cake one day special birthday husband celiac mother used little lemon extract lemon zest cake baked mixed little sugar lemon juice heated poured top cake first poking cake toothpick create small holes absorbing yummy sweetened lemon concoction sorry cannot tell proportions simply guessed think creatively enjoy knowing starting great base,yummy even better than we hoped,the best,0.0
25,beans great opinion may feel flat tasting lack flavor mom diabetic found less carbs bean definitely regular item,super good and healthy,good taste,0.18393972058572117
26,favorite coffee keurig coffeemaker convenient get amazon cheaper running around stores trying find lowest price,great coffee,great coffee,1.0
27,seems stange item good tasty would disappear stock stores glad find amazon rate eat especially winter chili problem going thru bulk order pkgs thank amazon chi chi,mmmmmm good,great stuff,0.0
28,long time keurig user lifetime coffee drinker breakfast blend part plain cup coffee light smooth slight bitterness end still prefer donut shop light everyday coffee choice wanted try box green mountain probably purchase one house stopped said thats great cup coffee plain blah probably struggle finish box honestly,breakfast blend nothing special,great coffee,0.0
29,would definitely recommend beef jerky anyone buying sure high protein low fat buy garbage quality slim jims another brand get,delicious,good stuff,0.0
30,perfectly ground himalayan salt pink salt recommended holistic stronger tasting regular salt use salt salt uses including cooking cut amount half since salty salt processed like salts iodized need process like much better regular table kosher salt,pine salt,great salt,0.5
31,brewing beer past five years along many others comes time pour glass never let even without using methods always develops tasty drink,just good beer,amazing,0.0
32,health valley chicken broth favorite years ranking way competing products last year market area carried removed inventory fortunately amazon came rescue grateful,excellent chicken broth,best organic product,0.0
33,busy buddy kibble nibble great toy dog tug jug within minutes gnawed challenge rope pieces maybe good older dog definitely vigorously chewing month old puppy,not for chewing puppies,great for chewers,0.23884377019126307
34,dark roast version delicious received comments friends well full flavor delicious morning without half half said weak one suggestion need add coffee cuisinart coffee maker use scoops cups super saver great way get coffee well,great coffee for the price,great coffee,0.22313016014842982
35,huge fan mustard years perfect balance spices around best mustard food,great mustard,the best mustard,0.3333333333333333
36,dark chocolate liked cookies think probably used dark might explain kids care package arrived half cookies intact top separated bottom crunchy cracker place eat intact crumbs come better quality comparing products like little debbie etc,chocolate part is good but crumbles,good but not great,0.3032653298563167
37,favorite iced tea flavor far fresh summer flavor mixes quickly easily keurig brewer would definitely purchase item purchase larger portion size tends run online free shipping delays arrival quite bit quick shipping worth price,the best,delicious,0.0
38,ordered bulk package needed lot cocoa powder make hot cocoa mix gift sets christmas cocoa fresh worked exceptionally well cocoa mix bake idea cocoa perform baked goods description say dutch process cocoa price ordered came unit bargain compared store prices tend choose hershey brands choice lot compare live quality chocolate taste expect hershey would definitely recommend product,fresh quality chocolate taste,great taste,0.18393972058572117
39,product makes great gift cookies delicious tin attractive good quality highly recommended,great gift,great gift,1.0
40,great product tastes great actually helped curb appetite packets contain larger amount powder regular flavors need room bottle large glass,wow it works tastes great,great product,0.11156508007421491
